id,izname,simd2009,simd2012
S01000001,Aberdeen City - Culter,7,6
S01000002,Aberdeen City - Cove South,9,10
S01000003,Aberdeen City - Cove South,9,10
S01000004,Aberdeen City - Cove South,9,9
S01000005,Aberdeen City - Culter,9,9
S01000006,Aberdeen City - Culter,5,6
S01000007,Aberdeen City - Culter,10,9
S01000008,Aberdeen City - Culter,7,6
S01000009,Aberdeen City - Cove South,6,7
S01000010,Aberdeen City - Cove South,8,9
S01000011,"Aberdeen City - Cults, Bieldside and Milltimber West",10,9
S01000012,"Aberdeen City - Kincorth, Leggart and Nigg South",7,8
S01000013,Aberdeen City - Culter,5,6
S01000014,Aberdeen City - Cove North,7,7
S01000015,Aberdeen City - Cove North,8,10
S01000016,"Aberdeen City - Cults, Bieldside and Milltimber West",10,9
S01000017,Aberdeen City - Cove North,6,6
S01000018,Aberdeen City - Cove North,6,7
S01000019,"Aberdeen City - Cults, Bieldside and Milltimber West",9,9
S01000020,"Aberdeen City - Cults, Bieldside and Milltimber East",4,5
S01000021,"Aberdeen City - Kincorth, Leggart and Nigg South",5,5
S01000022,"Aberdeen City - Cults, Bieldside and Milltimber East",9,9
S01000023,"Aberdeen City - Cults, Bieldside and Milltimber West",9,9
S01000024,Aberdeen City - Culter,8,8
S01000025,"Aberdeen City - Cults, Bieldside and Milltimber East",9,9
S01000026,"Aberdeen City - Kincorth, Leggart and Nigg North",1,1
S01000027,"Aberdeen City - Cults, Bieldside and Milltimber East",9,9
S01000028,"Aberdeen City - Kincorth, Leggart and Nigg South",2,2
S01000029,"Aberdeen City - Cults, Bieldside and Milltimber East",9,9
S01000030,"Aberdeen City - Kincorth, Leggart and Nigg South",2,2
S01000031,"Aberdeen City - Cults, Bieldside and Milltimber East",10,9
S01000032,"Aberdeen City - Kincorth, Leggart and Nigg South",3,2
S01000033,"Aberdeen City - Kincorth, Leggart and Nigg North",1,1
S01000034,"Aberdeen City - Cults, Bieldside and Milltimber East",10,10
S01000035,Aberdeen City - Garthdee,3,3
S01000036,Aberdeen City - Garthdee,2,1
S01000037,Aberdeen City - Cove North,2,2
S01000038,"Aberdeen City - Kincorth, Leggart and Nigg North",3,3
S01000039,Aberdeen City - Garthdee,2,2
S01000040,"Aberdeen City - Kincorth, Leggart and Nigg North",3,3
S01000041,"Aberdeen City - Kincorth, Leggart and Nigg North",4,5
S01000042,Aberdeen City - Garthdee,2,2
S01000043,Aberdeen City - Garthdee,5,4
S01000044,Aberdeen City - Garthdee,1,1
S01000045,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",10,9
S01000046,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",10,9
S01000047,Aberdeen City - Ferryhill South,4,4
S01000048,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",10,10
S01000049,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",10,9
S01000050,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",9,8
S01000051,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",9,10
S01000052,Aberdeen City - Torry West,1,1
S01000053,Aberdeen City - Ferryhill South,8,7
S01000054,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield South",9,9
S01000055,Aberdeen City - Torry West,1,1
S01000056,"Aberdeen City - Cults, Bieldside and Milltimber West",9,8
S01000057,Aberdeen City - Torry East,1,1
S01000058,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",10,10
S01000059,Aberdeen City - Ferryhill South,10,9
S01000060,Aberdeen City - Torry East,1,1
S01000061,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield North",9,10
S01000062,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",10,10
S01000063,"Aberdeen City - Braeside, Mannofield, Broomhill and Seafield East",10,10
S01000064,Aberdeen City - Torry West,4,5
