id,yr_2011,yr_2012,yr_2030
AFG,5.96,5.95,6.22
ALB,2.95,2.98,3.63
DZA,6.34,6.92,7.65
AND,7.38,8.02,8.85
AGO,2.22,2.23,2.43
AIA,9.38,12.01,10.59
ATG,12.83,12.93,14.82
ARG,5.83,5.90,6.50
ARM,8.96,3.13,10.11
ABW,14.97,15.14,17.43
AUS,8.10,11.71,9.26
AUT,9.08,9.97,11.14
AZE,2.61,2.62,3.42
BHS,12.20,12.33,15.05
BHR,15.29,18.34,24.59
BGD,9.58,6.14,13.27
BRB,14.61,14.77,17.83
BLR,9.35,9.41,11.17
BEL,6.63,7.03,7.55
BLZ,14.41,13.58,17.10
BEN,1.71,1.46,1.94
BMU,14.32,14.42,15.59
BTN,4.85,4.89,6.56
BOL,5.68,5.95,6.42
BIH,9.21,9.30,11.26
BWA,8.19,8.25,9.21
BRA,9.72,10.28,12.28
VGB,8.77,13.14,10.02
BRN,7.25,8.58,10.40
BGR,9.25,9.30,10.92
BFA,2.36,2.38,2.70
BDI,2.16,2.18,2.88
KHM,2.47,2.55,3.11
CMR,5.18,5.21,5.87
CAN,10.80,10.50,12.79
CPV,4.67,4.73,6.23
CYM,12.25,12.34,14.12
CAF,2.67,2.55,2.87
TCD,3.91,3.66,4.46
???,6.83,7.30,8.30
CHL,10.19,13.83,12.29
CHN,9.29,9.42,12.10
HKG,9.38,9.49,11.91
MAC,7.49,7.61,10.75
COL,9.08,7.05,11.38
COM,6.55,6.62,7.84
COG,4.69,4.73,5.41
COK,8.19,8.69,9.38
CRI,8.82,8.24,12.34
CIV,4.20,4.23,5.00
HRV,6.60,6.81,7.35
CUB,11.36,10.51,15.34
CYP,10.12,10.18,12.00
CZE,6.92,7.50,8.33
PRK,9.08,7.86,10.32
COD,2.53,2.47,2.69
DNK,7.51,7.54,8.01
DJI,5.42,5.43,6.23
DMA,9.04,12.01,10.28
DOM,7.38,6.80,9.18
ECU,6.03,6.36,7.45
EGY,15.16,15.27,17.81
SLV,8.50,8.89,9.75
GNQ,3.87,3.89,4.39
ERI,3.68,3.52,4.16
EST,9.06,9.21,10.30
ETH,3.45,3.36,3.75
FJI,10.41,10.49,12.13
FIN,8.71,8.78,9.63
FRA,7.30,7.85,8.19
GUF,8.93,9.07,10.47
PYF,8.34,8.88,10.30
GAB,8.45,8.36,9.76
GMB,1.53,1.54,1.77
GEO,3.32,3.33,3.96
DEU,8.00,8.37,9.54
GHA,4.09,2.72,5.00
GRC,7.02,7.43,8.28
GRD,7.59,10.39,9.65
GLP,7.73,7.80,8.67
GUM,9.01,9.56,10.28
GTM,7.69,8.22,8.38
GIN,3.85,3.85,3.96
GNB,2.59,2.55,2.76
GUY,15.52,15.13,17.86
HTI,5.50,5.53,6.41
HND,5.41,5.79,6.52
HUN,7.56,7.69,8.40
ISL,3.88,3.90,4.76
IND,8.31,8.37,9.95
IDN,4.73,4.81,5.95
IRN,9.33,8.71,13.15
IRQ,7.23,7.56,7.99
IRL,6.07,6.57,7.49
ISR,8.50,9.13,9.58
ITA,7.80,8.54,9.48
JAM,15.75,12.45,17.53
JPN,11.20,7.48,12.00
JOR,8.92,8.73,11.32
KAZ,7.51,7.57,9.02
KEN,3.96,3.60,5.00
KIR,24.92,25.24,27.68
KWT,15.94,18.85,22.19
KGZ,4.91,4.95,6.58
LAO,2.67,4.16,3.66
LVA,9.72,9.75,11.15
LBN,18.93,16.60,24.18
LSO,2.63,2.65,3.53
LBR,2.68,2.57,2.93
LBY,11.26,8.82,14.77
LIE,6.68,7.06,7.75
LTU,9.55,9.57,11.01
LUX,5.62,5.65,6.52
MDG,4.38,4.72,4.55
MWI,5.37,5.36,6.12
MYS,11.66,11.70,13.25
MDV,7.64,7.74,11.28
MLI,1.50,1.30,1.76
MLT,9.53,9.66,11.09
MHL,21.49,26.85,24.17
MTQ,15.10,15.21,17.13
MRT,3.45,2.95,4.12
MUS,15.37,15.53,18.76
MEX,14.85,14.99,17.63
FSM,13.48,31.79,15.28
MCO,7.88,8.64,9.07
MNG,6.74,5.95,7.69
MNE,9.21,9.27,10.31
MAR,6.35,6.90,7.82
MOZ,2.74,2.76,3.21
MMR,6.70,5.57,8.87
NAM,6.09,6.06,7.35
NRU,20.08,29.82,21.73
NPL,3.03,3.05,4.54
NLD,7.31,8.21,8.82
???,14.10,14.24,17.29
NCL,8.83,9.38,10.20
NZL,10.27,10.89,11.52
NIC,8.94,9.51,11.23
NER,4.36,4.36,4.71
NGA,4.04,4.08,4.84
NIU,9.47,9.53,10.80
NOR,5.85,6.40,6.50
PSE,6.57,6.57,7.54
OMN,7.64,7.79,12.21
PAK,6.72,6.74,7.77
PLW,10.99,11.13,12.45
PAN,8.96,8.26,11.50
PNG,6.10,5.16,6.73
PRY,5.62,5.94,6.60
PER,5.38,6.21,6.37
PHL,8.22,8.22,9.58
POL,10.57,10.63,12.18
PRT,12.72,12.84,15.24
PRI,15.26,15.33,17.00
QAT,14.07,17.57,20.91
KOR,8.80,8.90,11.13
MDA,3.07,3.08,3.75
REU,16.78,16.95,19.31
ROU,9.21,9.29,11.11
RUS,11.54,11.64,13.90
RWA,2.45,2.48,3.12
KNA,8.68,13.90,9.91
LCA,7.75,10.83,9.59
VCT,8.49,11.31,10.15
WSM,7.05,7.11,7.62
SMR,7.46,8.14,9.01
STP,4.45,4.49,5.59
SAU,16.21,19.42,20.78
SEN,2.53,2.68,2.84
SRB,9.35,9.38,10.52
SYC,8.89,8.91,10.00
SLE,2.58,2.55,2.77
SGP,11.11,12.45,15.46
SVK,6.65,6.70,8.34
SVN,10.26,11.17,12.50
SLB,12.55,12.63,14.54
SOM,4.33,3.93,4.80
ZAF,6.46,6.50,7.19
ESP,8.14,9.28,10.57
LKA,7.77,7.84,9.12
SDN,7.58,8.05,8.50
SUR,8.65,11.37,10.08
SWZ,2.36,2.34,2.67
SWE,5.71,5.72,6.06
CHE,7.42,8.11,8.69
SYR,8.22,8.05,9.44
TWN,9.59,10.06,11.14
TJK,4.39,4.40,5.34
MKD,8.92,8.97,10.54
THA,8.18,6.89,9.80
TLS,6.19,5.21,5.67
TGO,2.67,4.48,3.08
TKL,11.09,11.20,12.30
TON,11.58,11.67,12.14
TTO,12.33,12.52,16.24
TUN,8.89,8.99,11.82
TUR,7.40,7.50,9.55
TKM,2.29,2.30,2.90
TUV,18.65,24.22,21.41
UGA,2.21,2.22,2.54
UKR,3.46,3.48,3.99
ARE,12.57,13.16,23.82
GBR,6.84,7.39,7.48
TZA,2.31,2.33,2.97
USA,10.94,11.00,11.82
VIR,15.68,15.76,16.12
URY,6.64,6.99,7.07
UZB,4.96,5.01,6.82
VUT,13.75,18.92,16.50
VEN,9.39,9.68,11.41
VNM,2.92,5.29,4.16
ESH,6.23,5.14,6.27
YEM,6.67,6.36,7.40
ZMB,4.26,4.57,4.30
ZWE,8.94,8.88,10.30
