hb_code,ind_no,ind_name,year,number,measure,lci,uci
S00000001,1,Age/sex standardised prevalence of T1 diabetes,2012,28849,0.548508031,0.542229056,0.55485931
S08000001,1,Age/sex standardised prevalence of T1 diabetes,2012,2212,0.613356942,0.606717224,0.62006887
S08000002,1,Age/sex standardised prevalence of T1 diabetes,2012,626,0.5549014,0.548585929,0.561289167
S08000003,1,Age/sex standardised prevalence of T1 diabetes,2012,889,0.618188212,0.611522413,0.624926213
S08000004,1,Age/sex standardised prevalence of T1 diabetes,2012,1986,0.549831924,0.543545374,0.556190776
S08000005,1,Age/sex standardised prevalence of T1 diabetes,2012,1648,0.559401952,0.553060917,0.565815276
S08000006,1,Age/sex standardised prevalence of T1 diabetes,2012,3129,0.561882641,0.555527559,0.568310007
S08000007,1,Age/sex standardised prevalence of T1 diabetes,2012,6366,0.521698243,0.51557472,0.527894109
S08000008,1,Age/sex standardised prevalence of T1 diabetes,2012,1793,0.583365478,0.576890054,0.589913154
S08000009,1,Age/sex standardised prevalence of T1 diabetes,2012,3585,0.635081025,0.628324842,0.641909385
S08000010,1,Age/sex standardised prevalence of T1 diabetes,2012,4282,0.503408911,0.497393776,0.509496416
S08000011,1,Age/sex standardised prevalence of T1 diabetes,2012,119,0.606256114,0.599654918,0.61292953
S08000012,1,Age/sex standardised prevalence of T1 diabetes,2012,128,0.571443819,0.565034895,0.577925015
S08000013,1,Age/sex standardised prevalence of T1 diabetes,2012,1901,0.477599326,0.471740605,0.483530455
S08000014,1,Age/sex standardised prevalence of T1 diabetes,2012,185,0.767990328,0.760562062,0.775490578
S00000001,23,Age/sex standardised prevalence of T2 diabetes,2012,227967,4.336416229,4.319034855,4.353864369
S08000001,23,Age/sex standardised prevalence of T2 diabetes,2012,18799,4.631802429,4.613865295,4.649805897
S08000002,23,Age/sex standardised prevalence of T2 diabetes,2012,5160,3.896877633,3.880364848,3.913457826
S08000003,23,Age/sex standardised prevalence of T2 diabetes,2012,7528,4.125620792,4.108649409,4.142659249
S08000004,23,Age/sex standardised prevalence of T2 diabetes,2012,17030,4.490457451,4.472783629,4.508197814
S08000005,23,Age/sex standardised prevalence of T2 diabetes,2012,13091,4.453759799,4.436155119,4.471431074
S08000006,23,Age/sex standardised prevalence of T2 diabetes,2012,22037,4.039633525,4.022832804,4.056501446
S08000007,23,Age/sex standardised prevalence of T2 diabetes,2012,52236,4.636296824,4.618351394,4.654308582
S08000008,23,Age/sex standardised prevalence of T2 diabetes,2012,13190,3.681376249,3.665309623,3.697510598
S08000009,23,Age/sex standardised prevalence of T2 diabetes,2012,26527,4.79038411,4.772157021,4.808677301
S08000010,23,Age/sex standardised prevalence of T2 diabetes,2012,30735,4.040822109,4.024019014,4.057692401
S08000011,23,Age/sex standardised prevalence of T2 diabetes,2012,877,3.782628062,3.766350033,3.798973665
S08000012,23,Age/sex standardised prevalence of T2 diabetes,2012,881,3.801539899,3.785222738,3.817924607
S08000013,23,Age/sex standardised prevalence of T2 diabetes,2012,18806,4.301655777,4.284341216,4.319037155
S08000014,23,Age/sex standardised prevalence of T2 diabetes,2012,1070,3.353737826,3.338378478,3.369165378
S00000001,2,Crude prevalence of T1 diabetes,2012,28849,0.549002816,0.54272101,0.555356927
S08000001,2,Crude prevalence of T1 diabetes,2012,2212,0.602905503,0.578367981,0.62847746
S08000002,2,Crude prevalence of T1 diabetes,2012,626,0.553247901,0.511674851,0.598178409
S08000003,2,Crude prevalence of T1 diabetes,2012,889,0.600432257,0.562342085,0.641085829
S08000004,2,Crude prevalence of T1 diabetes,2012,1986,0.5407142,0.517509141,0.564953863
S08000005,2,Crude prevalence of T1 diabetes,2012,1648,0.557621447,0.531409172,0.585119062
S08000006,2,Crude prevalence of T1 diabetes,2012,3129,0.563499496,0.544149786,0.583533235
S08000007,2,Crude prevalence of T1 diabetes,2012,6366,0.526005285,0.51327392,0.539050731
S08000008,2,Crude prevalence of T1 diabetes,2012,1793,0.574753173,0.548827532,0.601896085
S08000009,2,Crude prevalence of T1 diabetes,2012,3585,0.636558147,0.616120943,0.657668783
S08000010,2,Crude prevalence of T1 diabetes,2012,4282,0.504520299,0.489669236,0.519819424
S08000011,2,Crude prevalence of T1 diabetes,2012,119,0.590277778,0.493539692,0.70584287
S08000012,2,Crude prevalence of T1 diabetes,2012,128,0.568888889,0.478699713,0.675954699
S08000013,2,Crude prevalence of T1 diabetes,2012,1901,0.468548584,0.44799887,0.490036274
S08000014,2,Crude prevalence of T1 diabetes,2012,185,0.709355828,0.614507969,0.818722633
S00000001,3,Crude prevalence T2 diabetes,2012,227967,4.33826216,4.320877247,4.355713837
S08000001,3,Crude prevalence T2 diabetes,2012,18799,5.123879092,5.053002389,5.195695554
S08000002,3,Crude prevalence T2 diabetes,2012,5160,4.560318162,4.440293079,4.683428621
S08000003,3,Crude prevalence T2 diabetes,2012,7528,5.084425233,4.973686805,5.197494381
S08000004,3,Crude prevalence T2 diabetes,2012,17030,4.636637879,4.569105751,4.705118932
S08000005,3,Crude prevalence T2 diabetes,2012,13091,4.429503859,4.355914346,4.504278056
S08000006,3,Crude prevalence T2 diabetes,2012,22037,3.96862844,3.917597696,4.020296098
S08000007,3,Crude prevalence T2 diabetes,2012,52236,4.316118765,4.280057263,4.352470287
S08000008,3,Crude prevalence T2 diabetes,2012,13190,4.228106167,4.158052734,4.299286894
S08000009,3,Crude prevalence T2 diabetes,2012,26527,4.710175164,4.655151935,4.765816252
S08000010,3,Crude prevalence T2 diabetes,2012,30735,3.621305791,3.581769089,3.661262339
S08000011,3,Crude prevalence T2 diabetes,2012,877,4.350198413,4.077204497,4.640586661
S08000012,3,Crude prevalence T2 diabetes,2012,881,3.915555556,3.669874603,4.176970533
S08000013,3,Crude prevalence T2 diabetes,2012,18806,4.635204981,4.570938379,4.700330655
S08000014,3,Crude prevalence T2 diabetes,2012,1070,4.102760736,3.868705947,4.350334917
S00000001,24,Estimated % pop with undiagnosed diabetes,2012,48844,0.9,0.892089026,0.907980485
S08000001,24,Estimated % pop with undiagnosed diabetes,2012,3234,0.9,0.869641467,0.931408369
S08000002,24,Estimated % pop with undiagnosed diabetes,2012,1168,1,0.944527072,1.058696083
S08000003,24,Estimated % pop with undiagnosed diabetes,2012,2316,1.6,1.536632134,1.665936827
S08000004,24,Estimated % pop with undiagnosed diabetes,2012,2556,0.7,0.673471248,0.727566094
S08000005,24,Estimated % pop with undiagnosed diabetes,2012,1933,0.7,0.669581896,0.731789773
S08000006,24,Estimated % pop with undiagnosed diabetes,2012,4507,0.8,0.777070555,0.82360042
S08000007,24,Estimated % pop with undiagnosed diabetes,2012,11007,0.9,0.883415646,0.916892811
S08000008,24,Estimated % pop with undiagnosed diabetes,2012,5929,1.9,1.852686796,1.948497483
S08000009,24,Estimated % pop with undiagnosed diabetes,2012,4470,0.8,0.776977225,0.823699305
S08000010,24,Estimated % pop with undiagnosed diabetes,2012,7586,0.9,0.880060799,0.920386761
S08000011,24,Estimated % pop with undiagnosed diabetes,2012,264,1.3,1.153157586,1.465264057
S08000012,24,Estimated % pop with undiagnosed diabetes,2012,416,1.9,1.727415874,2.089460195
S08000013,24,Estimated % pop with undiagnosed diabetes,2012,3528,0.9,0.870912865,0.930049485
S08000014,24,Estimated % pop with undiagnosed diabetes,2012,698,2.7,2.509334956,2.904720569
S00000001,25,Crude mortality rate for all people with diabetes,2012,9565,3.576329299,3.506614478,3.647377727
S08000001,25,Crude mortality rate for all people with diabetes,2012,795,3.641777371,3.401319758,3.898548168
S08000002,25,Crude mortality rate for all people with diabetes,2012,211,3.513153513,3.076434655,4.009302846
S08000003,25,Crude mortality rate for all people with diabetes,2012,342,3.874915024,3.491924222,4.298041115
S08000004,25,Crude mortality rate for all people with diabetes,2012,665,3.371356147,3.128411296,3.632460057
S08000005,25,Crude mortality rate for all people with diabetes,2012,581,3.780829049,3.490628594,4.094132413
S08000006,25,Crude mortality rate for all people with diabetes,2012,940,3.594646272,3.37574508,3.827179939
S08000007,25,Crude mortality rate for all people with diabetes,2012,2249,3.67856325,3.532238904,3.830708436
S08000008,25,Crude mortality rate for all people with diabetes,2012,521,3.328860776,3.05906629,3.621560871
S08000009,25,Crude mortality rate for all people with diabetes,2012,1089,3.484465491,3.286796075,3.693568826
S08000010,25,Crude mortality rate for all people with diabetes,2012,1229,3.365555769,3.185435219,3.555487203
S08000011,25,Crude mortality rate for all people with diabetes,2012,42,4.046242775,3.007251495,5.424126173
S08000012,25,Crude mortality rate for all people with diabetes,2012,30,2.84629981,2.000904265,4.03417698
S08000013,25,Crude mortality rate for all people with diabetes,2012,813,3.766679021,3.520796629,4.029016039
S08000014,25,Crude mortality rate for all people with diabetes,2012,58,4.414003044,3.429940043,5.663838754
S00000001,26,% of diabetes pop with recorded BMI,2012,226310,89.20976179,89.08843279,89.32990328
S08000001,26,% of diabetes pop with recorded BMI,2012,18810,90.64186584,90.23804443,91.03064284
S08000002,26,% of diabetes pop with recorded BMI,2012,5136,89.97897687,89.17288053,90.73129608
S08000003,26,% of diabetes pop with recorded BMI,2012,7447,89.35685145,88.67651509,90.00092105
S08000004,26,% of diabetes pop with recorded BMI,2012,16552,88.02850609,87.55670946,88.48476685
S08000005,26,% of diabetes pop with recorded BMI,2012,12953,89.07302984,88.55560358,89.5698175
S08000006,26,% of diabetes pop with recorded BMI,2012,22863,92.08554857,91.74319236,92.41488313
S08000007,26,% of diabetes pop with recorded BMI,2012,50675,87.44456524,87.17230186,87.71186451
S08000008,26,% of diabetes pop with recorded BMI,2012,13339,90.22591991,89.73671781,90.69422216
S08000009,26,% of diabetes pop with recorded BMI,2012,25359,85.64625621,85.24225594,86.04100788
S08000010,26,% of diabetes pop with recorded BMI,2012,31739,91.56977583,91.27264538,91.85769265
S08000011,26,% of diabetes pop with recorded BMI,2012,892,90.92762487,88.96705707,92.56889754
S08000012,26,% of diabetes pop with recorded BMI,2012,676,67.93969849,64.97551367,70.76588917
S08000013,26,% of diabetes pop with recorded BMI,2012,18841,91.90731707,91.52608123,92.2728494
S08000014,26,% of diabetes pop with recorded BMI,2012,1028,83.2388664,81.05324352,85.21834439
S00000001,27,% of diabetes pop (T1) with recorded HbA1c,2012,25118,87.06714271,86.67497524,87.4494396
S08000001,27,% of diabetes pop (T1) with recorded HbA1c,2012,1990,89.96383363,88.64149517,91.14760166
S08000002,27,% of diabetes pop (T1) with recorded HbA1c,2012,543,86.74121406,83.85912351,89.1751124
S08000003,27,% of diabetes pop (T1) with recorded HbA1c,2012,742,83.46456693,80.87948588,85.76167421
S08000004,27,% of diabetes pop (T1) with recorded HbA1c,2012,1767,88.97280967,87.51922985,90.27590721
S08000005,27,% of diabetes pop (T1) with recorded HbA1c,2012,1464,88.83495146,87.22317469,90.26609547
S08000006,27,% of diabetes pop (T1) with recorded HbA1c,2012,2734,87.37615852,86.1664255,88.49422763
S08000007,27,% of diabetes pop (T1) with recorded HbA1c,2012,5467,85.87810242,85.00096768,86.71196157
S08000008,27,% of diabetes pop (T1) with recorded HbA1c,2012,1514,84.43948689,82.68819365,86.0435187
S08000009,27,% of diabetes pop (T1) with recorded HbA1c,2012,2765,77.12691771,75.7233915,78.47236905
S08000010,27,% of diabetes pop (T1) with recorded HbA1c,2012,3930,91.77954227,90.91888679,92.56529984
S08000011,27,% of diabetes pop (T1) with recorded HbA1c,2012,116,97.4789916,92.84938932,99.13899247
S08000012,27,% of diabetes pop (T1) with recorded HbA1c,2012,125,97.65625,93.33551191,99.19977286
S08000013,27,% of diabetes pop (T1) with recorded HbA1c,2012,1781,93.68753288,92.5037657,94.6950859
S08000014,27,% of diabetes pop (T1) with recorded HbA1c,2012,180,97.2972973,93.83008047,98.84017862
S00000001,28,% of diabetes pop (T2) with recorded HbA1c,2012,211463,92.76035567,92.65325358,92.86601662
S08000001,28,% of diabetes pop (T2) with recorded HbA1c,2012,17937,95.41464972,95.10624989,95.70449225
S08000002,28,% of diabetes pop (T2) with recorded HbA1c,2012,4574,88.64341085,87.74878519,89.48053959
S08000003,28,% of diabetes pop (T2) with recorded HbA1c,2012,7001,92.99946865,92.40086928,93.55420444
S08000004,28,% of diabetes pop (T2) with recorded HbA1c,2012,16097,94.52143277,94.16950244,94.85328148
S08000005,28,% of diabetes pop (T2) with recorded HbA1c,2012,12110,92.50630204,92.04269796,92.94496619
S08000006,28,% of diabetes pop (T2) with recorded HbA1c,2012,20623,93.58351863,93.25232127,93.89952324
S08000007,28,% of diabetes pop (T2) with recorded HbA1c,2012,47629,91.18041198,90.93418357,91.42058376
S08000008,28,% of diabetes pop (T2) with recorded HbA1c,2012,12141,92.04700531,91.57292082,92.49660446
S08000009,28,% of diabetes pop (T2) with recorded HbA1c,2012,23921,90.17604705,89.81202884,90.52843047
