ZONECODE,EASTING,NORTHING,LATITUDE,LONGITUDE,HEIGHT,IZ_CODE,MMW_CODE,SPC11_CODE,SPC07_CODE,CHP_CODE,LA_CODE,HB_CODE,SGUR2010_6FOLD,LEC_CODE,NUTS1_CODE,NUTS2_CODE,NUTS3_CODE,NUTS4_CODE,SIMD2009_VIGINTILES,SETT2008_CODE,COMREG_LOC_CODE,COMREG_CPP_CODE
S01000001,383768,800514,57.095305,-2.26952,50.02,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V16,191,,
S01000002,394754,800555,57.095932,-2.08822,49.8,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V19,479,,
S01000003,394910,800780,57.097955,-2.08565,49.79,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V19,479,,
S01000004,394278,800816,57.098271,-2.096081,49.81,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V19,479,,
S01000005,383520,800680,57.096788,-2.273624,50.02,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V19,191,,
S01000006,384020,800881,57.098611,-2.265385,50.01,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V13,191,,
S01000007,384450,800914,57.098922,-2.25829,50.01,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V20,191,,
S01000008,383879,801016,57.099819,-2.267721,50.01,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V16,191,,
S01000009,395190,801100,57.100833,-2.081035,49.78,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V15,479,,
S01000010,394660,801100,57.100827,-2.089783,49.8,S02000001,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V17,479,,
S01000011,385604,801551,57.104682,-2.239281,49.98,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V20,191,,
S01000012,394185,800524,57.095647,-2.097609,49.81,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V17,479,,
S01000013,383500,801260,57.101997,-2.273992,50.02,S02000003,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V13,191,,
S01000014,395330,801230,57.102002,-2.078726,49.78,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V16,479,,
S01000015,394650,801550,57.104869,-2.089957,49.79,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V18,479,,
S01000016,386820,801800,57.106956,-2.219221,49.96,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V20,191,,
S01000017,395001,801590,57.105232,-2.084164,49.78,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V14,479,,
S01000018,394860,801780,57.106937,-2.086496,49.79,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V14,479,,
S01000019,386154,801877,57.107628,-2.23022,49.97,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V19,191,,
S01000020,389195,802616,57.114348,-2.18005,49.91,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V12,479,,
S01000021,393170,802490,57.113293,-2.114414,49.82,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V14,479,,
S01000022,387700,802500,57.113268,-2.204728,49.94,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V20,479,,
S01000023,385700,802200,57.110515,-2.237733,49.98,S02000007,109,S16000076,3,S03000012,100,S08000006,3,8,UKM,UKM5,UKM50,UKM5001,V19,191,,
S01000024,382550,802260,57.110945,-2.289743,50.03,S02000003,109,S16000076,3,S03000012,100,S08000006,5,8,UKM,UKM5,UKM50,UKM5001,V17,,,
S01000025,388230,802940,57.117235,-2.195998,49.93,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V19,479,,
S01000026,392980,802880,57.116794,-2.117562,49.82,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V5,479,,
S01000027,388520,802830,57.116254,-2.191205,49.92,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V19,479,,
S01000028,393310,802860,57.116619,-2.112112,49.81,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V8,479,,
S01000029,387550,802960,57.117396,-2.207228,49.94,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V19,479,,
S01000030,393710,802990,57.117792,-2.10551,49.8,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V7,479,,
S01000031,389550,802990,57.117716,-2.174204,49.9,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V20,479,,
S01000032,394170,803150,57.119236,-2.097918,49.79,S02000002,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V9,479,,
S01000033,393574,803388,57.121366,-2.107766,49.8,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V5,479,,
S01000034,389783,803276,57.120291,-2.170368,49.89,S02000004,109,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V20,479,,
S01000035,391820,803460,57.121985,-2.136735,49.84,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V9,479,,
S01000036,391330,803260,57.120179,-2.14482,49.86,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V6,479,,
S01000037,394574,803246,57.120103,-2.091249,49.78,S02000005,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V6,479,,
S01000038,393520,803550,57.12282,-2.108662,49.8,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V11,479,,
S01000039,391280,803500,57.122334,-2.145654,49.86,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V9,479,,
S01000040,393920,803520,57.122556,-2.102056,49.8,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V9,479,,
S01000041,393282,803662,57.123823,-2.112596,49.81,S02000006,113,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V12,479,,
S01000042,392286,803507,57.122415,-2.129041,49.83,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V8,479,,
S01000043,392530,803940,57.126309,-2.125024,49.82,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V13,479,,
S01000044,392024,803626,57.123479,-2.133371,49.84,S02000008,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V5,479,,
S01000045,391370,803800,57.125031,-2.144179,49.85,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V20,479,,
S01000046,391130,804050,57.127272,-2.148151,49.86,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V20,479,,
S01000047,392840,804080,57.127571,-2.119908,49.81,S02000010,111,S16000074,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V11,479,,
S01000048,391790,804110,57.127823,-2.137252,49.84,S02000009,111,S16000076,3,S03000012,100,S08000006,1,8,UKM,UKM5,UKM50,UKM5001,V20,479,,
