zonecode,datazones_2001_ID,latitude,longitude
S01006490,0,55.9702,-3.5985
S01006505,1,55.9865,-3.6025
S01006499,2,55.9784,-3.5891
S01006494,3,55.9744,-3.5919
S01006397,4,55.8965,-3.6175
S01006456,5,55.9106,-3.5899
S01006422,6,55.9004,-3.6121
S01006418,7,55.9,-3.6063
S01006429,8,55.9023,-3.6125
S01006419,9,55.9001,-3.6016
S01006435,10,55.9026,-3.6524
S01006405,11,55.8978,-3.6288
S01006440,12,55.9041,-3.6559
S01006438,13,55.9041,-3.645
S01006439,14,55.9042,-3.638
S01006458,15,55.9133,-3.6284
S01006447,16,55.9064,-3.6444
S01006457,17,55.9099,-3.6585
S01006304,18,55.8413,-3.6203
S01006312,19,55.8526,-3.599
S01006330,20,55.8677,-3.6266
S01006342,21,55.8748,-3.6287
S01006349,22,55.8773,-3.6285
S01006359,23,55.881,-3.767
S01006392,24,55.8934,-3.7733
S01006468,25,55.9317,-3.4777
S01006469,26,55.9321,-3.4705
S01006476,27,55.9354,-3.4809
S01006472,28,55.9334,-3.4655
S01006477,29,55.936,-3.4699
S01006480,30,55.9448,-3.4736
S01006479,31,55.9384,-3.4523
S01006316,32,55.8575,-3.6864
S01006317,33,55.8597,-3.6827
S01006467,34,55.9302,-3.5432
S01006362,35,55.8867,-3.4672
S01006367,36,55.888,-3.4615
S01006366,37,55.8875,-3.456
S01006372,38,55.8908,-3.4673
S01006384,39,55.8954,-3.4476
S01006379,40,55.894,-3.4635
S01006398,41,55.8991,-3.4301
S01006297,42,55.825,-3.7144
S01006299,43,55.8261,-3.7067
S01006298,44,55.8258,-3.6976
S01006301,45,55.8301,-3.7059
S01006300,46,55.8298,-3.7013
S01006302,47,55.8319,-3.6938
S01006306,48,55.8451,-3.6827
S01006313,49,55.8511,-3.7172
S01006462,50,55.9197,-3.4943
S01006475,51,55.9337,-3.4939
S01006461,52,55.9192,-3.46
S01006470,53,55.9328,-3.4866
S01006478,54,55.9367,-3.4883
S01006481,55,55.9476,-3.5179
S01006329,56,55.8691,-3.4533
S01006370,57,55.8893,-3.4155
S01006356,58,55.8825,-3.4846
S01006363,59,55.8864,-3.4949
S01006360,60,55.8852,-3.4847
S01006368,61,55.8878,-3.4902
S01006381,62,55.894,-3.4811
S01006339,63,55.8729,-3.6185
S01006343,64,55.8753,-3.6146
S01006350,65,55.8776,-3.6225
S01006345,66,55.8761,-3.6035
S01006296,67,55.822,-3.4799
S01006307,68,55.8487,-3.5772
S01006310,69,55.8508,-3.5686
S01006311,70,55.8521,-3.5638
S01006335,71,55.8708,-3.5609
S01006315,72,55.8587,-3.5559
S01006318,73,55.8622,-3.5511
S01006319,74,55.8615,-3.7014
S01006320,75,55.8619,-3.6936
S01006327,76,55.8653,-3.6975
S01006326,77,55.8647,-3.6877
S01006332,78,55.8683,-3.69
S01006442,79,55.9064,-3.4926
S01006452,80,55.9099,-3.4951
S01006503,81,55.9806,-3.5835
S01006502,82,55.9802,-3.5769
S01006501,83,55.9801,-3.572
S01006504,84,55.9847,-3.5459
S01006303,85,55.8406,-3.6503
S01006305,86,55.8451,-3.6345
S01006308,87,55.8482,-3.6272
S01006473,88,55.9311,-3.6581
S01006464,89,55.9262,-3.5094
S01006465,90,55.9283,-3.5026
S01006466,91,55.9304,-3.5128
S01006471,92,55.9327,-3.5007
S01006474,93,55.9335,-3.5051
S01006451,94,55.9095,-3.5076
S01006463,95,55.9186,-3.7248
S01006309,96,55.849,-3.6579
S01006325,97,55.8643,-3.6809
S01006323,98,55.8627,-3.6624
S01006328,99,55.8659,-3.6749
S01006334,100,55.8688,-3.6815
S01006333,101,55.8689,-3.6723
S01006331,102,55.8675,-3.661
S01006364,103,55.8846,-3.6509
S01006380,104,55.8917,-3.6521
S01006399,105,55.8964,-3.6626
S01006400,106,55.8969,-3.6528
S01006415,107,55.8991,-3.6609
S01006431,108,55.902,-3.6601
S01006421,109,55.9,-3.6345
S01006295,110,55.8149,-3.6235
S01006369,111,55.8849,-3.7102
S01006389,112,55.8932,-3.7036
S01006403,113,55.8963,-3.7093
S01006393,114,55.8947,-3.6959
S01006387,115,55.8929,-3.6903
S01006410,116,55.898,-3.6963
S01006426,117,55.901,-3.6832
S01006414,118,55.8983,-3.7104
S01006434,119,55.9016,-3.7077
S01006424,120,55.9001,-3.7039
S01006443,121,55.9037,-3.7029
S01006427,122,55.9011,-3.6953
S01006460,123,55.9142,-3.6956
S01006337,124,55.872,-3.5313
S01006340,125,55.8745,-3.5211
S01006351,126,55.879,-3.5259
S01006344,127,55.8772,-3.5096
S01006352,128,55.8794,-3.5077
S01006355,129,55.8815,-3.5095
S01006314,130,55.8591,-3.5017
S01006321,131,55.8644,-3.5148
S01006324,132,55.866,-3.5262
S01006346,133,55.8764,-3.5899
S01006353,134,55.8783,-3.5918
S01006375,135,55.8918,-3.4976
S01006388,136,55.8959,-3.4971
S01006404,137,55.8992,-3.5055
S01006402,138,55.899,-3.5005
S01006385,139,55.895,-3.4897
S01006408,140,55.9002,-3.4944
S01006401,141,55.899,-3.4881
S01006406,142,55.8988,-3.5629
S01006425,143,55.902,-3.5747
S01006413,144,55.9002,-3.5593
S01006409,145,55.8998,-3.5473
S01006433,146,55.9035,-3.5605
S01006417,147,55.9006,-3.5544
S01006407,148,55.8993,-3.5377
S01006394,149,55.8971,-3.5215
S01006412,150,55.9005,-3.5199
S01006411,151,55.9002,-3.5279
S01006420,152,55.9013,-3.5145
S01006446,153,55.9066,-3.564
S01006448,154,55.9077,-3.5549
S01006428,155,55.903,-3.551
S01006423,156,55.9022,-3.5382
S01006441,157,55.9056,-3.544
S01006432,158,55.9038,-3.5342
S01006430,159,55.901,-3.7129
S01006449,160,55.9082,-3.5442
S01006437,161,55.905,-3.5396
S01006459,162,55.9146,-3.5405
S01006444,163,55.906,-3.5297
S01006445,164,55.9068,-3.5216
S01006436,165,55.9043,-3.5203
S01006455,166,55.9106,-3.5271
S01006450,167,55.9092,-3.5225
