IZ_CODE,EASTING,NORTHING,LATITUDE,LONGITUDE,HEIGHT
S02000085,411790,845180,57.496671,-1.804954,49.15
S02000086,412220,846160,57.505463,-1.797731,49.13
S02000087,369340,842740,57.47386,-2.512867,50.51
S02000088,412647,846522,57.508703,-1.790587,49.11
S02000089,411480,846750,57.510782,-1.810053,49.15
S02000090,399650,848150,57.523499,-2.007502,49.55
S02000091,372425,850075,57.539943,-2.462265,50.29
S02000092,408984,852001,57.558004,-1.851521,49.2
S02000093,392635,847877,57.520985,-2.124617,49.81
S02000094,388223,855813,57.592175,-2.198666,49.79
S02000095,365639,861709,57.643972,-2.577263,50.19
S02000096,380632,859512,57.625136,-2.325939,49.87
S02000097,357740,864240,57.666031,-2.710015,50.27
S02000098,397581,862056,57.648401,-2.042194,49.37
S02000099,368624,864195,57.666519,-2.527586,50.01
S02000100,370975,864308,57.667692,-2.488195,49.94
S02000101,399060,865840,57.682396,-2.017432,49.24
S02000102,398400,865983,57.683678,-2.028501,49.25
S02000103,399020,866450,57.687875,-2.018106,49.22
S02000104,399012,867042,57.693192,-2.018243,49.21
S02000105,348960,732540,56.482177,-2.830311,51.21
S02000106,349550,732780,56.484397,-2.820779,51.19
S02000107,354860,734200,56.497693,-2.734816,51.01
S02000108,356349,735106,56.505973,-2.710785,50.96
S02000109,351288,738133,56.532666,-2.793567,51.21
S02000110,336440,736240,56.513887,-3.034462,51.73
S02000111,363517,741244,56.561725,-2.595202,50.74
S02000112,364343,741111,56.560594,-2.581745,50.7
S02000113,362749,741461,56.563613,-2.607728,50.77
S02000114,365170,741870,56.567474,-2.568393,50.67
S02000115,364180,742390,56.572071,-2.584574,50.72
S02000116,347840,748540,56.62578,-2.851718,51.39
S02000117,331628,750152,56.63817,-3.116317,51.98
S02000118,345020,749820,56.636955,-2.897945,51.48
S02000119,346081,750671,56.644723,-2.880828,51.45
S02000120,345798,751215,56.649576,-2.885556,51.46
S02000121,370801,755962,56.694453,-2.478366,50.5
S02000122,359679,750053,56.640543,-2.659019,50.95
S02000123,338448,754172,56.675226,-3.006109,51.77
S02000124,371466,757962,56.712461,-2.467731,50.48
S02000125,371296,758830,56.720248,-2.470605,50.49
S02000126,360447,760059,56.730493,-2.648043,50.94
S02000127,359670,760513,56.734505,-2.660812,50.98
S02000128,370569,761290,56.742302,-2.482766,50.53
S02000129,352085,764028,56.765359,-2.785433,51.34
S02000130,171920,620450,55.424709,-5.605923,55.29
S02000131,178555,632120,55.532414,-5.510596,55.33
S02000132,208900,663980,55.8311,-5.052779,54.9
S02000133,208922,664624,55.836887,-5.052882,54.9
S02000134,142840,669840,55.852959,-6.110412,55.67
S02000135,217191,676661,55.948099,-4.929166,54.86
S02000136,217150,678370,55.963418,-4.930981,54.87
S02000137,214070,669260,55.880496,-4.973979,54.87
S02000138,230940,681800,55.999254,-4.7125,54.54
S02000139,229457,682455,56.004607,-4.736665,54.57
S02000140,230169,683160,56.011186,-4.725707,54.57
S02000141,227140,683830,56.016116,-4.77466,54.64
S02000142,186360,687990,56.036987,-5.430982,55.05
S02000143,224370,684944,56.025106,-4.819767,54.71
S02000144,234190,678040,55.966643,-4.658132,54.49
S02000145,185572,693192,56.083287,-5.447772,55.04
S02000146,219368,694364,56.107771,-4.906274,54.85
S02000147,211340,726587,56.393756,-5.058151,54.63
S02000148,186222,729469,56.408907,-5.46666,54.94
S02000149,185978,730645,56.419342,-5.471568,54.92
S02000150,190882,734196,56.453386,-5.395059,54.83
S02000151,143300,748063,56.554144,-6.178762,55.81
S02000152,291198,691908,56.107495,-3.751008,53.18
S02000153,289100,692460,56.11197,-3.784953,53.24
S02000154,288160,693384,56.120048,-3.800448,53.27
S02000155,289233,694416,56.129565,-3.783628,53.25
S02000156,285441,694566,56.130017,-3.844665,53.36
S02000001,394910,800780,57.097955,-2.08565,49.79
S02000002,393170,802490,57.113293,-2.114414,49.82
S02000003,383879,801016,57.099819,-2.267721,50.01
