intgeocode,intgeoname,intgeography_2001_id,latitude,longitude
,,0,56.7897,-4.4816
S02000001,Cove South,1,57.098,-2.0879
S02000002,"Kincorth, Leggart and Nigg South",2,57.1039,-2.1038
S02000003,Culter,3,57.1085,-2.3045
S02000004,"Cults, Bieldside and Milltimber East",4,57.1159,-2.1822
S02000005,Cove North,5,57.1178,-2.0761
S02000006,"Kincorth, Leggart and Nigg North",6,57.1213,-2.1114
S02000007,"Cults, Bieldside and Milltimber West",7,57.1218,-2.2407
S02000008,Garthdee,8,57.1222,-2.1336
S02000009,"Braeside, Mannofield, Broomhill and Seafield South",9,57.1279,-2.1431
S02000010,Ferryhill South,10,57.1316,-2.109
S02000011,"Braeside, Mannofield, Broomhill and Seafield East",11,57.133,-2.1237
S02000012,Torry West,12,57.1341,-2.0875
S02000013,"Braeside, Mannofield, Broomhill and Seafield North",13,57.1343,-2.15
S02000014,Hazlehead,14,57.1362,-2.1845
S02000015,Torry East,15,57.1364,-2.0659
S02000016,Ferryhill North,16,57.1379,-2.1056
S02000017,West End South,17,57.1383,-2.1281
S02000018,City Centre,18,57.144,-2.0998
S02000019,West End North,19,57.144,-2.1327
S02000020,Summerhill,20,57.1484,-2.162
S02000021,Rosemount,21,57.1491,-2.1168
S02000022,Hanover,22,57.1515,-2.0856
S02000023,Midstocket,23,57.1518,-2.1347
S02000024,George Street,24,57.153,-2.1038
S02000025,Mastrick,25,57.1551,-2.1594
S02000026,Ashgrove,26,57.1569,-2.1188
S02000027,Sheddocksley,27,57.157,-2.176
S02000028,Stockethill,28,57.1591,-2.1388
S02000029,"Froghall, Powis and Sunnybank",29,57.1615,-2.1058
S02000030,Cummings Park,30,57.1629,-2.15
S02000031,Northfield,31,57.1655,-2.1633
S02000032,Seaton,32,57.1657,-2.0877
S02000033,Hilton,33,57.1662,-2.1292
S02000034,Heathryfold and Middlefield,34,57.1701,-2.1532
S02000035,Kingswells,35,57.1705,-2.2312
S02000036,Tillydrone,36,57.1709,-2.1167
S02000037,Old Aberdeen,37,57.1724,-2.1009
S02000038,Woodside,38,57.1729,-2.135
S02000039,Bucksburn South,39,57.1758,-2.1701
S02000040,Danestone,40,57.1798,-2.134
S02000041,Balgownie and Donmouth West,41,57.1809,-2.1119
S02000042,Balgownie and Donmouth East,42,57.1845,-2.0944
S02000043,Bucksburn North,43,57.1892,-2.1839
