country,overall,male,female
Afghanistan,107.2,106.9,108.5
Albania,202.8,213.9,196.6
Algeria,105.8,108.7,104.9
Angola,95.7,92.9,99.7
Argentina,206.2,232.1,193
Armenia,207.5,260.4,172.8
Australia,314.1,360.5,274.4
Austria,232.7,275.4,200.6
Azerbaijan,157.9,173.6,147.7
Bahamas,156.4,170.2,149.6
Bahrain,129.6,136.7,130.9
Bangladesh,124.8,111.5,138.8
Barbados,207.9,251.3,189.1
Belarus,213.1,269,186.7
Belgium,306.8,351.3,275.7
Belize,115,130.6,102.3
Benin,103.3,86.5,121.3
Bhutan,126.6,124.8,130.5
Bolivia,121.6,101,141.8
Bosnia Herzegovena,161.9,198.3,133.6
Botswana,85.7,88.8,85.4
Brazil,171.3,190.4,158.1
Brunei,162.4,176.7,153.5
Bulgaria,224.7,252.9,206.6
Burkina Faso,103.9,89.5,117.7
Burundi,124.5,118.1,132.6
Cambodia,133.1,152.9,123
Cameroon,92.1,88.8,96.5
Canada,296.6,325.9,275
Cape Verde,103.1,88.2,115.6
Central African Republic,89.7,88.2,92.2
Chad,94.2,85.6,103.3
Chile,176.7,203,159.5
China,181,211,152.4
Colombia,150.2,160.8,144.1
Comoros,101.5,94.8,109.8
"Congo, Democratic Republic of",90.8,87.4,95.7
"Congo, Republic of",90.7,85.7,96.4
Costa Rica,176.3,191.2,165.9
Cote d Ivoire,90.9,82.9,101.1
Croatia,263.1,315,229.3
Cuba,193,213.4,175.9
Cyprus,178.8,187.2,174.5
Czech Republic,295,348.8,259.1
Denmark,326.1,334.7,325.3
Djibouti,98,101.5,96
Dominican Republic,151.7,154.5,149.6
Ecuador,160.5,153.4,169.3
Egypt,108.4,118.3,100.3
El Salvador,135.9,103.4,162.1
Equatorial Guinea,90.5,86.7,95.6
Eritrea,95.8,99.2,95.1
Estonia,230.4,285.7,203.7
Ethiopia,107.1,108.8,106.6
Fiji,128.9,102.8,156.8
Finland,249.8,271.3,239.8
France (metropolitan),300.4,360.6,254.9
"France, Guadeloupe",196.9,245.9,154.8
"France, La Reunion",190.2,252.9,142.6
"France, Martinique",234.9,315.4,173.8
French Guyana,170.8,212.1,132.3
French Polynesia,269.6,289.7,256.8
FYR Macedonia,225.1,262.1,196.5
Gabon,91.9,88.8,96.5
Gaza Strip and West Bank,54.9,62.5,49.7
Georgia,127.9,139.8,121.5
Germany,282.1,330.7,245.7
Ghana,109.5,93.8,125.5
Greece,160,190,136.2
Guam,157.9,152.9,165.4
Guatemala,154,144.9,162.2
Guinea,111.6,96.1,128
Guinea-Bissau,103.9,89.3,118.6
Guyana,150.2,143.2,162.5
Haiti,133.8,158.2,113.9
Honduras,180.5,181.6,181.6
Hungary,282.9,352.3,235.6
Iceland,282.2,305.5,265.6
India,98.5,92.9,105.5
Indonesia,143.5,145.9,144.6
"Iran, Islamic Republic of",107.3,126.1,87.5
Iraq,104.9,115.6,100.7
Ireland,317,355.9,285.1
Israel,288.3,303.7,280.4
Italy,274.3,310,251.6
Jamaica,187.8,171.8,205.1
Japan,201.1,247.3,167.6
Jordan,128.9,124.7,133.6
Kazakhstan,186.5,225.4,166.5
