country,id,overall,male,female
Afghanistan,AFG,107.2,106.9,108.5
Albania,ALB,202.8,213.9,196.6
Algeria,DZA,105.8,108.7,104.9
Angola,AGO,95.7,92.9,99.7
Argentina,ARG,206.2,232.1,193
Armenia,ARM,207.5,260.4,172.8
Australia,AUS,314.1,360.5,274.4
Austria,AUT,232.7,275.4,200.6
Azerbaijan,AZE,157.9,173.6,147.7
Bahamas,BHS,156.4,170.2,149.6
Bahrain,BHR,129.6,136.7,130.9
Bangladesh,BGD,124.8,111.5,138.8
Barbados,BRB,207.9,251.3,189.1
Belarus,BLR,213.1,269,186.7
Belgium,BEL,306.8,351.3,275.7
Belize,BLZ,115,130.6,102.3
Benin,BEN,103.3,86.5,121.3
Bhutan,BTN,126.6,124.8,130.5
Bolivia,BOL,121.6,101,141.8
Bosnia Herzegovena,BIH,161.9,198.3,133.6
Botswana,BWA,85.7,88.8,85.4
Brazil,BRA,171.3,190.4,158.1
Brunei,BRN,162.4,176.7,153.5
Bulgaria,BGR,224.7,252.9,206.6
Burkina Faso,BFA,103.9,89.5,117.7
Burundi,BDI,124.5,118.1,132.6
Cambodia,KHM,133.1,152.9,123
Cameroon,CMR,92.1,88.8,96.5
Canada,CAN,296.6,325.9,275
Cape Verde,CPV,103.1,88.2,115.6
Central African Republic,CAF,89.7,88.2,92.2
Chad,TCD,94.2,85.6,103.3
Chile,CHL,176.7,203,159.5
China,CHN,181,211,152.4
Colombia,COL,150.2,160.8,144.1
Comoros,COM,101.5,94.8,109.8
"Congo, Democratic Republic of",COD,90.8,87.4,95.7
"Congo, Republic of",COG,90.7,85.7,96.4
Costa Rica,CRI,176.3,191.2,165.9
Cote d Ivoire,???,90.9,82.9,101.1
Croatia,HRV,263.1,315,229.3
Cuba,CUB,193,213.4,175.9
Cyprus,CYP,178.8,187.2,174.5
Czech Republic,CZE,295,348.8,259.1
Denmark,DNK,326.1,334.7,325.3
Djibouti,DJI,98,101.5,96
Dominican Republic,DOM,151.7,154.5,149.6
Ecuador,ECU,160.5,153.4,169.3
Egypt,EGY,108.4,118.3,100.3
El Salvador,SLV,135.9,103.4,162.1
Equatorial Guinea,GNQ,90.5,86.7,95.6
Eritrea,ERI,95.8,99.2,95.1
Estonia,EST,230.4,285.7,203.7
Ethiopia,ETH,107.1,108.8,106.6
Fiji,FJI,128.9,102.8,156.8
Finland,FIN,249.8,271.3,239.8
France (metropolitan),FRA,300.4,360.6,254.9
"France, Guadeloupe",GLP,196.9,245.9,154.8
"France, La Reunion",???,190.2,252.9,142.6
"France, Martinique",MTQ,234.9,315.4,173.8
French Guyana,GUF,170.8,212.1,132.3
French Polynesia,PYF,269.6,289.7,256.8
FYR Macedonia,MKD,225.1,262.1,196.5
Gabon,GAB,91.9,88.8,96.5
Gaza Strip and West Bank,???,54.9,62.5,49.7
Georgia,GEO,127.9,139.8,121.5
Germany,DEU,282.1,330.7,245.7
Ghana,GHA,109.5,93.8,125.5
Greece,GRC,160,190,136.2
Guam,GUM,157.9,152.9,165.4
Guatemala,GTM,154,144.9,162.2
Guinea,GIN,111.6,96.1,128
Guinea-Bissau,GNB,103.9,89.3,118.6
Guyana,GUY,150.2,143.2,162.5
Haiti,HTI,133.8,158.2,113.9
Honduras,HND,180.5,181.6,181.6
Hungary,HUN,282.9,352.3,235.6
Iceland,ISL,282.2,305.5,265.6
India,IND,98.5,92.9,105.5
Indonesia,IDN,143.5,145.9,144.6
"Iran, Islamic Republic of",IRN,107.3,126.1,87.5
Iraq,IRQ,104.9,115.6,100.7
Ireland,IRL,317,355.9,285.1
Israel,ISR,288.3,303.7,280.4
Italy,ITA,274.3,310,251.6
Jamaica,JAM,187.8,171.8,205.1
Japan,JPN,201.1,247.3,167.6
Jordan,JOR,128.9,124.7,133.6
Kazakhstan,KAZ,186.5,225.4,166.5
Kenya,KEN,132.8,129.5,136.8
"Korea, Democratic Republic of",???,130.3,124.9,140.1
"Korea, Republic of",KOR,262.4,309.4,234.4
Kuwait,KWT,117.2,101.9,148.5
Kyrgyzstan,KGZ,147.5,152.7,145.9
Lao PDR,LAO,146.1,154.1,140.9
Latvia,LVA,230.4,304,193.4
Lebanon,LBN,169.6,177.8,162.1
Lesotho,LSO,99.4,113.8,89.5
Liberia,LBR,101.2,88.8,114.1
Libya,LBY,111.3,120.7,102.7
Lithuania,LTU,244.4,316.5,207.8
Luxembourg,LUX,284,324,254.4
Madagascar,MDG,135,155.8,116.5
Malawi,MWI,149,138.1,158.7
Malaysia,MYS,142.9,142.9,145.2
Maldives,MDV,105,109.3,99.6
Mali,MLI,120,96.2,140.7
Malta,MLT,211.4,233.2,199.7
Mauritania,MRT,103,89.1,118
Mauritius,MUS,110.5,105.9,119.4
Mexico,MEX,128.4,132.9,126.2
Mongolia,MNG,242.2,281.5,210.8
Montenegro,MNE,204.3,231.2,185.2
Morocco,MAR,101.9,99.5,105.1
Mozambique,MOZ,123.5,117.4,129.9
Myanmar,MMR,152.9,141,164.8
Namibia,NAM,78.3,84.6,73.9
Nepal,NPL,141.6,127.5,154.2
New Caledonia,NCL,218.5,234.4,208.4
New Zealand,NZL,309.2,337.6,287.1
Nicaragua,NIC,140.2,128.4,152.2
Niger,NER,86.4,68.6,106.8
Nigeria,NGA,111.7,95.1,128.4
Norway,NOR,299.1,338.4,270.3
Oman,OMN,87.6,82.2,100.8
Pakistan,PAK,114.7,106.5,123.4
Panama,PAN,143.9,150.9,138.6
Papua New Guinea,PNG,139,154.7,125.2
Paraguay,PRY,166.3,175,160.7
Peru,PER,157.1,140.9,174.9
Philippines,PHL,116.1,118.7,115.2
Poland,POL,222.9,280.5,185.5
Portugal,PRT,223.2,266.8,190.8
Puerto Rico,PRI,194,253.6,149.8
Qatar,QAT,116.9,118.8,134.8
Republic of Moldova,MDA,186,217,167.1
Romania,ROU,205.1,240.6,179.5
Russian Federation,RUS,200.5,247.1,178.9
Rwanda,RWA,126.8,120.2,134.3
Samoa,WSM,93.1,94.2,96.1
Saudi Arabia,SAU,87.6,87.7,92.2
Senegal,SEN,103.1,88.4,117.1
Serbia,SRB,218.9,238.5,205.2
Sierra Leone,SLE,102.7,88.8,114.4
Singapore,SGP,196,208.2,188.4
Slovakia,SVK,260.6,320.2,223.4
Slovenia,SVN,267.9,319.6,232.9
Solomon Islands,SLB,92.9,80.9,105.2
Somalia,SOM,113.5,113.6,114.5
South African Republic,ZAF,202,254.8,170.1
Spain,ESP,241.4,309.9,187
Sri Lanka,LKA,111,107.2,116.1
Sudan,SDN,81.5,81.6,82.2
Suriname,SUR,144.5,152.4,143.1
Swaziland,SWZ,103.1,108.1,101.4
Sweden,SWE,252.1,269.6,241.2
Switzerland,CHE,269.3,313.2,236
Syrian Arab Republic,SYR,72.2,76.6,69.3
"Taiwan, China",TWN,244.1,282.3,208.5
Tajikistan,TJK,98.3,93.2,103.7
Tanzania,TZA,87.2,84.1,91.1
Thailand,THA,150.5,146,156.1
The Gambia,GMB,91.3,91.7,91.5
The Netherlands,NLD,286.8,306.3,276.5
Timor-Leste,TLS,123.3,129.7,118.2
Togo,TGO,101.5,89.2,114.8
Trinidad and Tobago,TTO,153.4,206.9,121
Tunisia,TUN,121.9,143.1,102.8
Turkey,TUR,144.8,182.3,112.8
Turkmenistan,TKM,132.6,143.4,124.8
Uganda,UGA,171.9,156.9,186.8
Ukraine,UKR,191.9,231.1,173
United Arab Emirates,ARE,88.8,80.5,120.3
United Kingdom,GBR,266.9,280,260.5
United States of America,USA,300.2,335,274.4
Uruguay,URY,280.3,354.4,230.7
Uzbekistan,UZB,89.2,88.3,91.2
Vanuatu,VUT,113.9,100.8,126.6
Venezuela,VEN,152.6,150.4,157.5
Viet Nam,VNM,138.7,154.4,127.7
Western Sahara,ESH,109.8,97.7,125.4
Yemen,YEM,89.8,84.6,95.8
Zambia,ZMB,140.8,137.3,144.7
Zimbabwe,ZWE,159.1,156,159.6
