"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","Comments"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MLE","Male","","1285","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","MLE","Male","","755","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","DZA","Algeria","","MLE","Male","","556","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","AND","Andorra","","MLE","Male","","414","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","AGO","Angola","","MLE","Male","","892","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","ATG","Antigua and Barbuda","","MLE","Male","","544","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","ARG","Argentina","","MLE","Male","","613","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ARM","Armenia","","MLE","Male","","1156","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","AUS","Australia","","MLE","Male","","365","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","AUT","Austria","","MLE","Male","","437","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","AZE","Azerbaijan","","MLE","Male","","999","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BHS","Bahamas","","MLE","Male","","530","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","BHR","Bahrain","","MLE","Male","","642","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","SEAR","South-East Asia","","BGD","Bangladesh","","MLE","Male","","748","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BRB","Barbados","","MLE","Male","","633","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BLR","Belarus","","MLE","Male","","1066","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BEL","Belgium","","MLE","Male","","439","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BLZ","Belize","","MLE","Male","","507","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BEN","Benin","","MLE","Male","","886","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","SEAR","South-East Asia","","BTN","Bhutan","","MLE","Male","","793","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","MLE","Male","","711","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BIH","Bosnia and Herzegovina","","MLE","Male","","645","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BWA","Botswana","","MLE","Male","","676","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BRA","Brazil","","MLE","Male","","614","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","BRN","Brunei Darussalam","","MLE","Male","","534","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BGR","Bulgaria","","MLE","Male","","849","","","",""
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BFA","Burkina Faso","","MLE","Male","","956","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BDI","Burundi","","MLE","Male","","837","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_DTH_PER","All NCDs, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","KHM","Cambodia","","MLE","Male","","958","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
