"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","Comments"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","AFG","Afghanistan","","MLE","Male","","108","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ALB","Albania","","MLE","Male","","172","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","DZA","Algeria","","MLE","Male","","98","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","AND","Andorra","","MLE","Male","","144","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","AGO","Angola","","MLE","Male","","88","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","ATG","Antigua and Barbuda","","MLE","Male","","123","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","ARG","Argentina","","MLE","Male","","168","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","ARM","Armenia","","MLE","Male","","232","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","AUS","Australia","","MLE","Male","","141","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","AUT","Austria","","MLE","Male","","154","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","AZE","Azerbaijan","","MLE","Male","","155","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BHS","Bahamas","","MLE","Male","","130","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EMR","Eastern Mediterranean","","BHR","Bahrain","","MLE","Male","","98","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","SEAR","South-East Asia","","BGD","Bangladesh","","MLE","Male","","105","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BRB","Barbados","","MLE","Male","","194","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BLR","Belarus","","MLE","Male","","206","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BEL","Belgium","","MLE","Male","","163","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BLZ","Belize","","MLE","Male","","111","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BEN","Benin","","MLE","Male","","84","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","SEAR","South-East Asia","","BTN","Bhutan","","MLE","Male","","131","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","MLE","Male","","77","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BIH","Bosnia and Herzegovina","","MLE","Male","","146","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BWA","Botswana","","MLE","Male","","69","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","BRA","Brazil","","MLE","Male","","136","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","BRN","Brunei Darussalam","","MLE","Male","","97","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","EUR","Europe","","BGR","Bulgaria","","MLE","Male","","179","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BFA","Burkina Faso","","MLE","Male","","100","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","BDI","Burundi","","MLE","Male","","105","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","KHM","Cambodia","","MLE","Male","","145","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","CMR","Cameroon","","MLE","Male","","84","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AMR","Americas","","CAN","Canada","","MLE","Male","","142","","","",""
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","CPV","Cape Verde","","MLE","Male","","91","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
"NCD_CA","Cancers, deaths per 100,000 (age-standardized estimate)","http://apps.who.int/gho/indicatorregistry/App_Main/view_indicator.aspx?iid=36","PUBLISHED","Published","","2008","2008","","AFR","Africa","","CAF","Central African Republic","","MLE","Male","","83","","","","
Country data not available.  Estimate based on a combination of country life tables, cause of death models, regional cause of death patterns, and WHO and UNAIDS program estimates for some major causes (not including chronic diseases).
"
